Road Name,From Node,To Node,Baseline Flow,Status,Baseline TSTT (Hours),New TSTT (Hours),Change (Minutes),Braess Link?
Ruperto Montinola St 2,Proper - 10,Proper - 11,0.0,Inactive,2661.0,2661.85,50.88,No
Delgado St (Rev),Proper - 10,Proper - 2,0.0,Inactive,2661.0,2661.85,50.88,No
Ledesma St (Rev),Proper - 11,Proper - 6,0.0,Inactive,2661.0,2661.85,50.88,No
Ruperto Montinola St 2 (Rev),Proper - 11,Proper - 10,0.0,Inactive,2661.0,2661.85,50.88,No
Arroyo St (Rev),Proper - 11,Proper - 12,0.0,Inactive,2661.0,2661.85,50.88,No
JM Basa St 1,Proper - 11,Proper - 13,0.0,Inactive,2661.0,2661.85,50.88,No
Arroyo St,Proper - 12,Proper - 11,0.0,Inactive,2661.0,2661.85,50.88,No
Muelle Loney St 1 (Rev),Proper - 12,Proper - 9,361.92,Active,2661.0,2663.58,154.49,No
Muelle Loney St 2,Proper - 12,Proper - 18,361.92,Active,2661.0,2663.58,154.49,No
JM Basa St 1 (Rev),Proper - 13,Proper - 11,0.0,Inactive,2661.0,2661.85,50.88,No
JM Basa St 2,Proper - 13,Proper - 14,0.0,Inactive,2661.0,2661.85,50.88,No
Dela Rama St 1,Proper - 13,Proper - 17,596.69,Active,2661.0,2685.77,1486.0,No
Rizal St 3 (Rev),Proper - 14,Proper - 6,0.0,Inactive,2661.0,2661.85,50.88,No
JM Basa St 2 (Rev),Proper - 14,Proper - 13,0.0,Inactive,2661.0,2661.85,50.88,No
General Hughes St 1,Proper - 14,Proper - 15,4336.6,Active,2661.0,2702.34,2480.23,No
General Hughes St 1 (Rev),Proper - 15,Proper - 14,4336.6,Active,2661.0,2702.34,2480.23,No
Duran St,Proper - 15,Proper - 16,0.0,Inactive,2661.0,2661.85,50.88,No
General Hughes St 2,Proper - 15,Proper - 22,0.0,Inactive,2661.0,2661.85,50.88,No
Duran St (Rev),Proper - 16,Proper - 15,0.0,Inactive,2661.0,2661.85,50.88,No
Dela Rama St 1 (Rev),Proper - 17,Proper - 13,596.69,Active,2661.0,2685.77,1486.0,No
Dela Rama St 2,Proper - 17,Proper - 20,0.0,Inactive,2661.0,2661.85,50.88,No
Blumentritt 1,Proper - 17,Proper - 18,0.0,Inactive,2661.0,2661.85,50.88,No
Blumentritt 2,Proper - 17,Proper - 19,0.0,Inactive,2661.0,2661.85,50.88,No
Blumentritt 1 (Rev),Proper - 18,Proper - 17,0.0,Inactive,2661.0,2661.85,50.88,No
Muelle Loney St 2 (Rev),Proper - 18,Proper - 12,361.92,Active,2661.0,2663.58,154.49,No
Muelle Loney St 3,Proper - 18,Proper - 19,0.0,Inactive,2661.0,2661.85,50.88,No
Blumentritt 2 (Rev),Proper - 19,Proper - 17,0.0,Inactive,2661.0,2661.85,50.88,No
